no,name,address,openingHours,numberOfCourts,district,city,phone,newDistrict,placeId
1,TA - Cấp 2 Văn Bình,"Trường THCS Văn Bình, Thường Tín",07:00 - 21:30,,Huyện Thường Tín,Hà Nội,,,ChIJ_aLhdACzNTER8khoLWL78nw
2,Tam Hưng,"21 Đ. Số 1, Thôn Hưng Giáo, Hà Nội",05:00 - 22:30,,,Hà Nội,,,ChIJB0Ua4MuOhyIRzLvJpSwY91c
3,HANSPORTS,"Bằng Sở, Thường Tín, Hà Nội",05:00 - 24:00,,Huyện Thường Tín,Hà Nội,,,ChIJfdRzWwCxNTERFXvvx6zNvic
4,TA - Cấp 2 Nhị Khê,"Trường THCS Nhị Khê, Thường Tín, Hà Nội",07:00 - 21:30,,Huyện Thường Tín,Hà Nội,,,ChIJfWxnVACzNTERQ3Mnca46aQg
5,MQB (Minh Quang Badminton),"Số 9 đường Văn Chỉ, thôn Đại Lộ, xã Hồng Vân, Hà Nội",05:00 - 23:00,,Huyện Thường Tín,Hà Nội,,,ChIJGx0TEqOxNTERjWW8b1zHXrs
6,LOL Badminton,"Số 32, Đường Miền Đông, Thôn Thượng, Thanh Oai, Hà Nội",05:00 - 24:00,,Huyện Thanh Oai,Hà Nội,,,ChIJy8Z9fwBTNDER-zGM8y35Jus
7,Câu lạc bộ Thể Thao Thanh Hà,"Cự Khuê, Thanh Oai, Hà Nội",05:00 - 24:00,,Huyện Thanh Oai,Hà Nội,,,ChIJp_pwx9mtNTERN5aR_thXRb8
8,Us Badminton Nhà Thi Đấu Thanh Hà,"WQJR+84R, Cự Khê, Thanh Oai, Hà Nội",05:00 - 24:00,,Huyện Thanh Oai,Hà Nội,,,
9,TA 512 Ngọc Hồi,"Ngõ 512 Ngọc Hồi (đi vào khoảng 200m), Khu tập thể 810",05:00 - 24:00,,,Hà Nội,0915533994,,ChIJyZMeETCtNTERyXPmpNxjvcY
10,298 Ngọc Hồi,"Số 50 ngõ 298/33 đường Ngọc Hồi, Yên Ngưu, Tam Hiệp",05:00 - 24:00,,,Hà Nội,,,ChIJqSidMM2tNTERt5c9gEz0KkU
11,Đại Thanh,"61-63 Phan Trọng Tuệ, đối diện KĐT Đại Thanh",00:00 - 24:00,,,Hà Nội,,,ChIJ2REMPwCtNTEROYmEfVFPnaY
12,44 Bala Thảm Xanh,"44 Ba La, Phú Lương, Hà Đông, Hà Nội",00:00 - 24:00,,Quận Hà Đông,Hà Nội,,,ChIJN7FI08NTNDERVbeHjUUxm3U
13,44 Bala,"44 P. Ba La, Ba La, Kiến Hưng, Hà Nội, Việt Nam",00:00 - 24:00,,Quận Hà Đông,Hà Nội,,,
14,19/5,"Sân cầu lông 19/5 thôn Văn, Thanh Liệt, Thanh Trì, Hà Nội",05:30 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJeZd2ZymtNTER_QuoeroAH_g
15,Ngọc Vân Badminton (Sân cầu lông Ngọc Vân),"948 Quang Trung, Phường Yên Nghĩa, Hà Nội",00:00 - 24:00,,Quận Hà Đông,Hà Nội,,,ChIJv3UIWgBTNDERaz2-z4otGDk
16,Thắng Lĩnh Sport,"948 Quang Trung, Hà Đông, Hà Nội",00:00 - 24:00,,Quận Hà Đông,Hà Nội,,,ChIJM2ZhCgBTNDERDCMt8N_jpkM
17,Kim Giang,"918 Kim Giang, Thanh Liệt, Thanh Trì, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJZ4PQTx2tNTERQ0CGxTFLrDo
18,Fbshop Kim Giang,"918 Kim Giang, Thanh Liệt, Thanh Trì, Hà Nội",05:30 - 23:30,,Huyện Thanh Trì,Hà Nội,,,ChIJC7P0cwCtNTERCcNuK_FSqn8
19,Sao Vàng,"Đường Phạm Tu, Thanh Liệt, Thanh Trì, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJ6SggJACtNTERteqJEFGEpKE
20,V - Badminton,"Đường Phạm Tu, Tân Triều, Thanh Trì, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,
21,Phạm Tu Badminton,"Đường Phạm Tu, Thanh Liệt, Thanh Trì, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJ57RkSACtNTEReZNd2ZTfhjU
22,Vina Badminton - TC5,"Đường số 1 Tổng Cục 5, Tân Triều, Thanh Trì, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJy2dTE1OtNTERHfVuWIcNcVs
23,Xoài Arena 1 - Pickleball & Cầu Lông - 38 Đại Từ,"Ngõ 38 Đại Từ, Hoàng Mai, Hà Nội",00:00 - 24:00,,Quận Hoàng Mai,Hà Nội,,,ChIJ_9w_bQCtNTERJOj9F3IaBPE
24,NTD Hà Đông - 182 Quang Trung,"182 Quang Trung, P. Quang Trung, Hà Đông, Hà Nội",05:00 - 22:00,,Quận Hà Đông,Hà Nội,,,ChIJVZ267tdSNDERHimFXPNbcM8
25,88 Thịnh Liệt,"Hẻm 88/61/75 Giáp Nhị, phường Thịnh Liệt, quận Hoàng Mai",05:00 - 24:00,,Quận Hoàng Mai,Hà Nội,,,ChIJ-e0yu0etNTER7Uu93kzB7iA
26,A&C 32 Đại Từ,"32 Đại Từ, Đại Kim, Hoàng Mai, Hà Nội",05:00 - 24:00,,Quận Hoàng Mai,Hà Nội,,,ChIJa-s1PgCtNTERaPEUJCsQnD0
27,Cụm 8 sân cầu lông Ao Sào,"Khu đô thị Ao Sào, Thịnh Liệt, Hoàng Mai, Hà Nội",05:00 - 23:00,8,Quận Hoàng Mai,Hà Nội,,,ChIJp1d48lqtNTERiXPE23eDrBg
28,JQK 300 Nguyễn Xiển,"Ngõ 1 đường Tân Triều Mới, xã Tân Triều, huyện Thanh Trì",06:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJcyvqdwCtNTERTU-nwbauVBE
29,TP Badminton CN1,"Ngõ 90 đường Mương Nổi, Tân Triều",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJZ3ZhdACtNTERlJyc_Rv9wvA
30,Link Badminton,"Cuối ngõ 1, đường Tân Triều mới, Triều Khúc, Hà Nội",00:00 - 24:00,,,Hà Nội,,,ChIJe3P0PgCtNTER8hpUfpRjZBk
31,Còi Badminton,"300 Nguyễn Xiển, Chiến Thắng, Triều Khúc",05:00 - 24:00,,,Hà Nội,,,
32,TP Badminton CN2,"Ngõ 90 Đường Mương Nổi, Tân Triều, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,
33,MC Badminton,"Chiến Thắng, Triều Khúc, Nguyễn Xiển, Thanh Trì, Hà Nội",05:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,
34,Đĩnh Lê - Đa Tốn,"Ngõ 15 Đa Tốn, Đa Tốn, Gia Lâm, Hà Nội",05:00 - 23:00,,Huyện Gia Lâm,Hà Nội,,,ChIJe3eFGwCvNTERNGxpKRIL9u0
35,Quân Lưu Cs1 - Tân Triều,"Đường số 1, Tổng cục V, Tân Triều, Thanh Trì, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJBab-AdWtNTERh-8Imr-6gDw
36,686 Chiến Thắng,"Ngõ 686 Đ. Chiến Thắng, P. Văn Quán, Hà Đông, Hà Nội",05:00 - 23:00,,Quận Hà Đông,Hà Nội,,,ChIJeQDATACtNTER89Qxkf7ViGI
37,Kabuto 261 Chiến Thắng,"261 Chiến Thắng, Văn Quán, Thanh Liệt, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJFxhUeQCtNTERxchN1wtoCxI
38,ACE Triều Khúc,"Ngõ 1 Vũ Đức Uý, Thanh Liệt, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJ89LsFwCtNTER9Ut8ZblpO-o
39,Số 1 Nguyễn Cảnh Dị,"1 P. Nguyễn Cảnh Dị, Định Công, Hoàng Mai, Hà Nội",05:00 - 23:00,,Quận Hoàng Mai,Hà Nội,,,ChIJ-6zaDemtNTERkfRdWHB0TmU
40,Victory Badminton Tân Triều,"Đường 25m Tân Triều mới, Thanh Liệt, Thanh Trì, Hà Nội",05:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJS00rCwCtNTERySVc7EYws9o
41,MD Badminton,111 ngõ 83 đường 25m Tân Triều Mới,05:00 - 24:00,,,Hà Nội,,,ChIJi3mUNgCtNTERoUj3IdQW5_Y
42,LC300 Badminton,"Đường Tân Triều Mới, Tân Triều, Thanh Trì, Hà Nội",00:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJKdLsMIatNTERVGmzKeY49jg
43,QVbadminton Usilk 101,"Hầm B2 toà Usilk 101, Khu đô thị Văn Khê, Hà Đông, Hà Nội",00:00 - 24:00,,Quận Hà Đông,Hà Nội,,,ChIJbcoSZgBTNDERF_xkjd32uHo
44,Swin (Học Viện Chính Trị),"Khu Dịch Vụ Dọc Bún 1, La Khê, Hà Đông, Hà Nội",05:00 - 21:30,,Quận Hà Đông,Hà Nội,,,ChIJx7kpZgBTNDERgMTJVw393Xk
45,Lĩnh Nam,"255, Đ. Lĩnh Nam / Ngách 47/7 Tổ 29, Vĩnh Hưng, Hà Nội, Việt Nam",00:00 - 24:00,4,Quận Hoàng Mai,Hà Nội,,,ChIJ32vYdgCtNTERHjQSt2RRB8U
46,Vui Sport - Ecopark Bát Tràng,"61 ngõ 8 Đường Bát Khối, Hồng Hà, Bát Tràng, Gia Lâm, Hà Nội",05:00 - 23:30,,Huyện Gia Lâm,Hà Nội,,,ChIJR03YUwCvNTER9ZFpTpAy8MU
47,Maxping - Sân cầu lông - 120 Định Công,"120 P. Định Công, Phương Liệt, Thanh Xuân, Hà Nội",05:00 - 23:30,,Quận Thanh Xuân,Hà Nội,,,ChIJvVqOBRStNTERrsLWH-pyC4s
48,66B Triều Khúc,"66B Triều Khúc, Thanh Xuân, Hà Nội",00:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJszDveQCtNTER7pGfOg3XfUQ
49,An Bình,"Ngách 88, Ngõ 286 Đ. Nguyễn Xiển, Tân Triều, Thanh Trì",05:00 - 24:00,,Huyện Thanh Trì,Hà Nội,,,
50,A&C 286 Nguyễn Xiển,"Ng. 286 Đ. Nguyễn Xiển, Triều Khúc, Thanh Trì, Hà Nội",05:30 - 24:00,,Huyện Thanh Trì,Hà Nội,,,ChIJk6XORwCtNTERWj_1VVs8BGk
51,Minh Dương Badminton,"Ngách 86 ngõ 286 Nguyễn Xiển, Thanh Xuân, Hà Nội",00:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJoYXxCgCtNTER7oVvuSOCuXY
52,TDT,"314 P. Bùi Xương Trạch, Khương Đình, Thanh Xuân, Hà Nội",00:00 - 24:00,,Quận Thanh Xuân,Hà Nội,,,ChIJm6d0CgCtNTERfT1ANmHsQqU
